Date,Open,High,Low,Close,Volume,Adj Close
2015-12-25,16.72,16.72,16.72,16.72,000,16.72
2015-12-24,16.76,16.76,16.50,16.72,4217800,16.72
2015-12-23,16.46,16.76,16.40,16.60,14330800,16.60
2015-12-22,16.48,16.48,16.24,16.38,7103000,16.38
2015-12-21,16.20,16.48,16.14,16.36,13605700,16.36
2015-12-18,16.32,16.34,16.08,16.20,16748900,16.20
2015-12-17,16.32,16.44,16.14,16.34,19677600,16.34
2015-12-16,16.08,16.18,15.90,16.00,40154900,16.00
2015-12-15,15.56,15.90,15.44,15.78,19190400,15.78
2015-12-14,14.70,15.52,14.70,15.48,26895100,15.48
2015-12-11,16.04,16.12,15.30,15.38,21937000,15.38
2015-12-10,15.92,16.14,15.92,16.02,21242000,16.02
2015-12-09,15.92,16.12,15.92,16.00,23088800,16.00
2015-12-08,16.00,16.14,15.82,16.12,432610100,16.12
2015-12-07,17.40,17.40,17.10,17.12,11248400,17.12
2015-12-04,17.24,17.30,16.98,17.02,16560700,17.02
2015-12-03,17.30,17.58,17.26,17.40,13182600,17.40
2015-12-02,17.08,17.48,17.02,17.30,13690900,17.30
2015-12-01,17.38,17.44,17.04,17.34,16000400,17.34
2015-11-30,17.10,17.10,16.72,16.82,29793000,16.82
2015-11-27,17.46,17.46,16.86,16.90,17184200,16.90
2015-11-26,17.40,17.52,17.16,17.28,8432100,17.28
2015-11-25,17.28,17.44,17.08,17.30,11278100,17.30
2015-11-24,17.46,17.46,17.16,17.20,9889400,17.20
2015-11-23,17.52,17.66,17.32,17.34,9696100,17.34
2015-11-20,17.50,17.60,17.26,17.42,11575400,17.42
2015-11-19,17.46,17.66,17.34,17.42,12486400,17.42
2015-11-18,17.44,17.58,17.10,17.38,9190200,17.38
2015-11-17,17.52,17.72,17.30,17.32,9526000,17.32
2015-11-16,17.08,17.48,16.84,17.20,10644700,17.20
2015-11-13,17.22,17.44,17.22,17.38,11010400,17.38
2015-11-12,17.38,17.86,17.38,17.68,10291200,17.68
2015-11-11,17.58,17.70,17.14,17.24,12797100,17.24
2015-11-10,17.50,17.84,17.42,17.56,9649000,17.56
2015-11-09,17.96,18.06,17.64,17.74,14147800,17.74
2015-11-06,18.00,18.00,17.82,17.96,8079200,17.96
2015-11-05,17.64,18.16,17.60,18.00,24263800,18.00
2015-11-04,17.62,18.08,17.56,17.62,24255900,17.62
2015-11-03,17.92,17.96,17.60,17.76,13215800,17.76
2015-11-02,17.54,17.98,17.46,17.72,15923500,17.72
2015-10-30,17.74,17.86,17.50,17.70,11866500,17.70
2015-10-29,17.78,17.80,17.12,17.48,21497300,17.48
2015-10-28,17.70,17.80,17.34,17.58,19319300,17.58
2015-10-27,17.88,17.94,17.42,17.68,14029600,17.68
2015-10-26,17.96,18.04,17.72,17.94,16440500,17.94
2015-10-23,17.90,17.90,17.68,17.82,15271300,17.82
2015-10-22,17.60,17.80,17.40,17.52,14355300,17.52
2015-10-21,17.80,17.80,17.80,17.80,000,17.80
2015-10-20,17.76,17.98,17.62,17.80,10388100,17.80
2015-10-19,17.58,17.90,17.42,17.88,7684600,17.88
2015-10-16,17.96,17.96,17.32,17.62,18501900,17.62
2015-10-15,17.56,17.82,17.32,17.70,14117100,17.70
2015-10-14,17.06,17.46,16.80,17.20,14546200,17.20
2015-10-13,17.98,17.98,16.80,17.02,16247400,17.02
2015-10-12,17.60,17.88,17.42,17.50,14691000,17.50
2015-10-09,17.20,17.66,17.20,17.48,26684200,17.48
2015-10-08,17.00,17.18,16.68,16.92,12162400,16.92
2015-10-07,16.78,17.00,16.56,16.96,21236200,16.96
2015-10-06,16.98,17.00,16.46,16.64,14800200,16.64
2015-10-05,15.82,16.58,15.82,16.56,20155300,16.56
2015-10-02,15.30,15.90,15.02,15.74,29018000,15.74
2015-10-01,15.06,15.06,15.06,15.06,000,15.06
2015-09-30,15.06,15.18,14.86,15.06,27812600,15.06
2015-09-29,14.80,15.10,14.54,14.80,24015900,14.80
2015-09-28,15.36,15.36,15.36,15.36,000,15.36
2015-09-25,15.32,15.50,15.00,15.36,13434800,15.36
2015-09-24,15.08,15.42,15.06,15.26,10392300,15.26
2015-09-23,15.24,15.36,14.80,15.08,21604600,15.08
2015-09-22,15.58,15.90,15.44,15.52,9949400,15.52
2015-09-21,15.18,15.72,15.18,15.60,11142300,15.60
2015-09-18,15.34,15.82,15.34,15.72,12536900,15.72
2015-09-17,15.10,15.80,15.10,15.50,23557900,15.50
2015-09-16,14.98,15.38,14.72,15.04,27794100,15.04
2015-09-15,15.20,15.26,14.68,14.84,28188100,14.84
2015-09-14,15.60,15.70,15.10,15.16,17175600,15.16
2015-09-11,15.80,15.88,15.36,15.46,16920100,15.46
2015-09-10,15.22,15.76,15.04,15.64,21889700,15.64
2015-09-09,15.50,15.92,15.44,15.68,34110300,15.68
2015-09-08,14.48,15.20,14.16,15.16,23009600,15.16
2015-09-07,14.36,14.82,14.26,14.32,12050600,14.32
2015-09-04,14.60,14.70,14.00,14.26,18265400,14.26
2015-09-03,14.32,14.32,14.32,14.32,000,14.32
2015-09-02,14.00,14.94,13.92,14.32,26459900,14.32
2015-09-01,14.64,14.64,14.08,14.26,32532100,14.26
2015-08-31,15.34,15.50,14.34,14.72,41709000,14.72
2015-08-28,16.02,16.10,15.32,15.34,17998000,15.34
2015-08-27,15.30,15.80,14.90,15.64,30442300,15.64
2015-08-26,14.62,15.54,14.40,14.58,26348800,14.58
2015-08-25,14.28,15.34,13.98,14.82,34968500,14.82
2015-08-24,15.46,15.46,14.04,14.58,38272400,14.58
2015-08-21,15.34,15.66,15.14,15.28,31448900,15.28
2015-08-20,16.16,16.16,15.62,15.84,22428800,15.84
2015-08-19,15.90,16.38,15.90,16.16,25210000,16.16
2015-08-18,16.20,16.70,15.92,16.02,20644100,16.02
2015-08-17,16.30,16.50,15.92,16.16,28388100,16.16
2015-08-14,16.44,16.74,16.38,16.48,14123200,16.48
2015-08-13,16.94,17.10,16.40,16.44,28498900,16.44
2015-08-12,16.68,16.92,16.42,16.70,25128100,16.70
2015-08-11,17.24,17.46,17.00,17.20,30168900,17.20
2015-08-10,15.96,16.88,15.80,16.68,27687900,16.68
2015-08-07,15.62,15.96,15.62,15.72,15919400,15.72
2015-08-06,15.92,15.92,15.60,15.66,16414600,15.66
2015-08-05,15.86,15.96,15.68,15.70,9544300,15.70
2015-08-04,15.72,15.96,15.60,15.80,16821700,15.80
2015-08-03,16.00,16.24,15.52,15.72,18078200,15.72
2015-07-31,16.28,16.38,16.04,16.14,16845500,16.14
2015-07-30,16.28,16.40,16.06,16.16,19867600,16.16
2015-07-29,15.90,16.28,15.70,16.20,18082400,16.20
2015-07-28,15.96,16.30,15.54,15.72,23408400,15.72
2015-07-27,15.96,15.96,15.58,15.76,29847400,15.76
2015-07-24,16.04,16.20,15.82,16.04,16497800,16.04
2015-07-23,15.80,16.24,15.58,16.18,19013900,16.18
2015-07-22,15.52,15.92,15.52,15.72,17600100,15.72
2015-07-21,15.86,16.02,15.60,15.84,14402700,15.84
2015-07-20,16.00,16.20,15.56,15.72,14689300,15.72
2015-07-17,15.88,16.36,15.82,16.00,19066600,16.00
2015-07-16,15.42,15.98,15.22,15.96,27890200,15.96
2015-07-15,16.22,16.22,15.54,15.64,27582800,15.64
2015-07-14,16.40,16.56,15.72,16.10,36123300,16.10
2015-07-13,16.50,17.10,16.32,16.72,23252400,16.72
2015-07-10,15.64,16.70,15.50,16.50,46375100,16.50
2015-07-09,14.50,16.38,14.50,15.34,50550800,15.34
2015-07-08,14.52,15.46,14.42,14.72,76947400,14.72
2015-07-07,17.16,17.18,15.26,15.36,57050100,15.36
2015-07-06,17.26,17.52,16.32,17.16,39826600,17.16
2015-07-03,17.52,17.64,16.90,17.26,25930000,17.26
2015-07-02,18.18,18.18,17.40,17.66,32329000,17.66
2015-07-01,17.66,17.66,17.66,17.66,000,17.31758
2015-06-30,17.36,17.80,17.30,17.66,22609500,17.31758
2015-06-29,17.80,17.92,16.82,17.22,26499100,16.88611
2015-06-26,17.90,18.34,17.60,17.70,23081600,17.35681
2015-06-25,18.64,18.84,18.28,18.34,28835800,17.9844
2015-06-24,18.40,18.50,18.12,18.44,22438300,18.08246
2015-06-23,18.20,18.56,18.20,18.24,21933700,17.88634
2015-06-22,17.54,18.24,17.46,18.00,13873600,17.65099
2015-06-19,17.42,17.88,17.20,17.38,21106900,17.04301
2015-06-18,17.40,17.58,17.14,17.18,11106400,16.84689
2015-06-17,17.32,17.60,17.14,17.40,15637900,17.06262
2015-06-16,17.58,17.98,17.24,17.32,16820300,16.98418
2015-06-15,18.14,18.36,17.72,17.82,11297100,17.47448
2015-06-12,18.30,18.56,18.14,18.48,22324300,18.12168
2015-06-11,17.82,18.42,17.82,18.22,27108200,17.86672
2015-06-10,17.26,17.96,17.12,17.34,21072700,17.00379
2015-06-09,17.92,17.92,17.28,17.38,14037400,17.04301
2015-06-08,17.46,17.98,17.46,17.72,14621900,17.37642
2015-06-05,17.88,18.24,17.42,17.56,37782200,17.21952
2015-06-04,17.74,18.48,17.74,18.02,19646900,17.6706
2015-06-03,18.54,18.56,17.88,18.02,15844400,17.6706
2015-06-02,18.42,18.54,17.96,18.32,15797800,17.96479
2015-06-01,17.90,18.38,17.64,18.24,19383800,17.88634
2015-05-29,18.38,18.38,17.74,17.78,36593900,17.43526
2015-05-28,19.66,19.66,17.98,18.26,41254500,17.90595
2015-05-27,19.62,19.96,19.26,19.40,22043700,19.02385
2015-05-26,20.00,20.15,19.54,19.76,19544700,19.37687
2015-05-25,18.98,18.98,18.98,18.98,000,18.61199
2015-05-22,18.78,19.08,18.68,18.98,14536100,18.61199
2015-05-21,18.60,18.92,18.50,18.60,12484800,18.23936
2015-05-20,18.50,19.06,18.42,18.84,26157200,18.4747
2015-05-19,17.98,18.50,17.94,18.44,20568900,18.08246
2015-05-18,17.70,17.96,17.64,17.94,20352400,17.59215
2015-05-15,17.38,17.90,17.28,17.84,17533700,17.49409
2015-05-14,17.22,17.46,17.14,17.26,9914800,16.92534
2015-05-13,17.30,17.64,17.16,17.30,12777500,16.96456
2015-05-12,17.90,17.94,17.34,17.36,12954700,17.0234
2015-05-11,17.88,18.00,17.60,17.82,13761700,17.47448
2015-05-08,17.22,17.80,17.20,17.74,24759300,17.39603
2015-05-07,17.34,17.34,16.88,16.96,15200000,16.63116
